posta,kraj
1,Åtvidaberg
2,Ban Lŭng
3,Kayangel
4,Old Shinyanga
5,Lunas
6,Jiangzhang
7,Ebaye
8,Nalsian Norte
9,Sukamantri Satu
10,Serednye Vodyane
11,Bendo
12,Cukalat
13,São Cristóvão
14,Angkimang
15,Pisões
16,Concepción
17,Uzda
18,Myślenice
19,Kotaagung
20,Dadiya
21,Kipit
22,Małkinia Górna
23,Albanel
24,Zhoushizhuang
25,Paris La Défense
26,Liuzu
27,Águas Belas
28,Werbkowice
29,Paipu
30,Bobrov
31,Duut
32,Krutja e Poshtme
33,Ambovombe
34,Arthur’s Town
35,Hong Kong
36,Bogale
37,Longgao
38,Totoral
39,Obubra
40,Cherven Bryag
41,Zoumi
42,Afonsoeiro
43,Portela
44,Carrascal
45,New York City
46,Caen
47,Battung
48,Caujul
49,Basiong
50,Remas
51,Banjar Banyualit
52,Raposeira
53,Trai Ngau
54,Cimanggu
55,Sibayo
56,Donostia-San Sebastian
57,Brämhult
58,Warugunung
59,Évry
60,Bhāndāria
61,Meilin
62,Pueblo Nuevo Viñas
63,Sanlian
64,Pasadena
65,São Sebastião do Caí
66,Sumbersih
67,Gudurica
68,Bella Vista
69,Chino
70,Tallahassee
71,Al Khushnīyah
72,Woippy
73,Tabwakea Village
74,Maxixe
75,Bamiantong
76,Żabieniec
77,Maoya
78,Xiliguantun
79,Kalashnikovo
80,Shimoda
81,Linhares
82,Nanyang
83,Prey Veng
84,Batabanó
85,Rivière-du-Loup
86,Baijiang
87,Suso
88,Horqueta
89,Triolet
90,Atami
91,Tapera
92,Rudnik
93,Pindushi
94,Huaxijie
95,Svedala
96,Sindangbarang
97,Tolbazy
98,Rio Covo
99,Montelíbano
100,Gendiwu
101,Jiangguanchi
102,Majiao
103,Vojkovice
104,Thị Trấn Yên Cát
105,Nanlü
106,Tieba
107,Bykivka
108,Songyuan
109,Fenghua
110,Xiaochuan
111,Cholargós
112,Plakhtiyivka
113,Duowa
114,Mossendjo
115,San Isidro
116,Shuntian
117,Yunlu
118,Shenglilu
119,Alingsås
120,Veldhoven
121,Łyse
122,Krasiczyn
123,Sigu
124,Contraalmirante Cordero
125,Xiaogang
126,Abelheira
127,Antsiranana
128,Pagsabangan
129,Greenville
130,Kotawaikabubak
131,Hanji
132,Werangere
133,Hongor
134,Fatou
135,Lagunas
136,Kuala Lumpur
137,Kingston
138,Santa Cruz
139,Granica
140,Akademicheskoe
141,Stockholm
142,Bouarouss
143,Nepomuceno
144,Siilinjärvi
145,Maoyang
146,Maunuri
147,Uppsala
148,Puntaru
149,Yingkeng
150,Zákynthos
151,Buda-Kashalyova
152,Nawal
153,Dijon
154,Benoy
155,Lagoa de Albufeira
156,Arbais
157,El Pino
158,Lin’an
159,Youngstown
160,Laranganglintong
161,Varadero
162,Darfield
163,Targuist
164,Luleå
165,Klášterec nad Ohří
166,Wangda
167,Madison
168,Xekar
169,Kashar
170,Cincinnati
171,San Roque
172,Frutillar
173,Le Chambon-Feugerolles
174,Cikuya
175,Ecroignard
176,Callahuanca
177,København
178,Tengah
179,Camperdown
180,Tomsk
181,Évry
182,Skrzyszów
183,Xiayang
184,Bebedouro
185,Biguaçu
186,Huangmao
187,Botigues
188,Salinas
189,Huddinge
190,Lappi
191,Du’ermenqin
192,Santiago de María
193,Paris 18
194,Malandag
195,Malabonot
196,Thị Trấn Tân Yên
197,Mstsislaw
198,Homeyo
199,Kuching
200,Mirador
201,Horgo
202,Xinkai
203,Christchurch
204,Whitegate
205,Podstepki
206,Yilan
207,Cotaparaco
208,Safakulevo
209,Ketampak
210,Bayt Sāḩūr
211,Braga
212,Zhuxi
213,Cherkasskoye
214,Dongtai
215,Kerbuyan
216,Bayanan
217,Carquefou
218,Boca Suno
219,Jieshan
220,Beaufort
221,Xuwei
222,Weru
223,Nuevo Berlín
224,Cabeço de Vide
225,Jiangqiao
226,Arsenal
227,Três Corações
228,Konongo
229,Zhoupu
230,Ghanzi
