id,racun_id,znesek,datum
1,771,4.78,2023-04-12
2,80,638.0,2022-09-17
3,722,411.94,2022-10-11
4,932,73.25,2022-11-10
5,868,237.32,2023-08-29
6,551,88.99,2022-11-01
7,19,580.87,2022-01-27
8,518,614.66,2023-02-08
9,478,193.85,2022-07-27
10,376,374.74,2023-08-28
11,792,563.34,2022-01-10
12,992,134.02,2023-02-21
13,619,25.28,2022-06-13
14,673,593.34,2023-09-18
15,549,2.45,2023-01-04
16,690,535.62,2023-01-06
17,784,12.9,2022-07-11
18,72,882.22,2022-06-01
19,164,731.97,2023-03-16
20,515,606.02,2023-11-28
21,504,781.45,2022-02-13
22,988,298.1,2023-10-28
23,752,600.81,2023-11-08
24,962,350.25,2023-06-18
25,398,322.53,2022-10-13
26,741,408.42,2022-04-04
27,233,543.44,2022-08-23
28,674,504.41,2023-05-31
29,420,904.96,2023-01-23
30,225,35.34,2023-08-03
31,853,933.15,2022-11-15
32,660,684.23,2023-04-09
33,567,639.44,2023-02-05
34,692,104.06,2022-09-03
35,56,362.31,2022-11-08
36,146,44.2,2023-06-07
37,237,285.98,2023-08-10
38,828,856.33,2022-05-02
39,179,498.07,2022-03-19
40,316,807.28,2022-09-19
41,773,755.69,2022-11-09
42,13,563.95,2023-12-16
43,367,972.81,2023-06-12
44,984,332.91,2023-09-10
45,522,126.64,2023-10-21
46,665,197.74,2023-02-24
47,426,51.44,2022-01-13
48,655,498.39,2022-07-29
49,863,778.61,2023-01-15
50,1,925.5,2022-05-02
51,740,323.13,2022-10-23
52,716,554.55,2023-02-28
53,909,760.46,2023-10-08
54,134,322.63,2023-11-20
55,734,718.33,2023-09-05
56,618,296.71,2022-06-09
57,593,407.49,2022-10-29
58,779,269.94,2023-11-24
59,239,132.59,2022-09-24
60,562,553.62,2022-05-26
61,78,872.46,2022-03-10
62,361,728.98,2022-01-12
63,99,636.32,2023-03-19
64,761,602.45,2022-08-16
65,800,197.36,2023-11-15
66,727,119.61,2022-01-28
67,707,508.9,2022-06-18
68,77,676.75,2023-10-01
69,702,426.42,2023-04-01
70,769,405.38,2023-10-20
71,535,121.65,2022-03-01
72,131,75.94,2022-09-21
73,950,669.52,2022-09-12
74,211,250.72,2023-10-07
75,731,812.14,2022-10-21
76,440,77.49,2023-01-12
77,986,811.45,2022-04-09
78,507,255.82,2023-08-13
79,230,827.74,2023-12-30
80,937,387.25,2023-01-10
81,448,527.24,2022-09-07
