posta,kraj
1,Mananjary
2,Caibarién
3,Paris 12
4,Sidomulyo
5,Hushan
6,P’rimorsk’oe
7,Aiguo
8,Nihommatsu
9,Miami
10,Paiçandu
11,Huangshi
12,Severo-Yeniseyskiy
13,Yaodu
14,Banjaranyar
15,Windsor
16,Tentúgal
17,Galovac
18,Kuhmo
19,Tuoshi
20,Ambarakaraka
21,Khanabad
22,Vale de Mendiz
23,Bunigeulis
24,Oleksandriya
25,Cipadung Timur
26,Kraczkowa
27,Kotakaya Dua
28,Kungälv
29,Maebaru
30,Huangdu
31,Tōbetsu
32,Jibiya
33,Sicaya
34,Novoaleksandrovsk
35,Santa Marta de Penaguião
36,Quime
37,Qandala
38,Guanmian
39,Pappádos
40,Buenavista
41,Lees Summit
42,Cachoeirinha
43,Jiangqiao
44,Chicago
45,Formosa do Rio Preto
46,Yangmadao
47,Zhongshangang
48,Maruoka
49,Biguo
50,Ad Dawādimī
51,Achada
52,Fucha
53,Eksjö
54,Pangkalan
55,Ar Riqqah
56,Upi
57,Dokolo
58,Beausejour
59,Silveiros
60,Sruki
61,Pataias
62,Pinheiral
63,Doba
64,Boawae
65,Freiria
66,Guanfang
67,Bromma
68,Debrecen
69,Baliuag
70,Amarillo
71,Tamboril
72,Hejia
73,Aţ Ţaybah
74,Tungipāra
75,Dachun
76,Rio Pardo
77,Mamali
78,Pho Thong
79,Tayabamba
80,Tariji
81,El Paso
82,Kenyau
83,Promissão
84,Västerås
85,Ban Lam Luk Ka
86,Cam Ranh
87,Pantang
88,Dayang
89,Xindian
90,Zhuanshui
91,Bromma
92,Akhaldaba
93,São Roque
94,Barkā’
95,Daliuhao
96,Kaduranca
97,Sukarame
98,Varāmīn
99,Xinjiezhen
100,Az Zubaydāt
101,Ainaži
102,Coari
103,El Obeid
104,Beaufort
105,Bošnjaci
106,Oytal
107,Pitai
108,Smedjebacken
109,Jiujianfang
110,Yuty
111,Būrkah
112,Hema
113,Longtan
114,Pelasgía
115,Negotin
116,Nova Lima
117,El Soberbio
118,Kinshasa
119,Tangchi
120,Tanxi
121,Santa Catalina
122,Yunlu
123,Xibu
124,Tutnae
125,Antalaha
126,Nanjin
127,Nonggunong
128,Umeå
129,Makariv
130,Linjiang
131,Baishan
132,Bagiktinggang
133,Luar
134,Cikuda
135,Rassvet
136,Itacoatiara
137,Alannay
138,Žďár nad Sázavou Druhy
139,Nouméa
140,Sar Chakān
141,Imider
142,Issy-les-Moulineaux
143,Wobulenzi
144,Borisovka
145,Oslo
146,Sugihwaras
147,Barat
148,Huangcun
149,Masākin
150,La Jagua de Ibirico
151,Verenchanka
152,Zebrzydowice
153,Takanini
154,Primošten
155,Tlumach
156,Ladozhskaya
157,Anchorage
158,Luodong
159,Damiku
160,Banjar Sembunggede
161,Hendala
162,Wanmao
163,Lanas
164,Pedro Betancourt
165,Segong
166,Buffalo
167,Segovia
168,Saint-Jean-de-Braye
169,Saint-Sauveur
170,Xitianwei
171,Varakļāni
172,Wringinputih
173,Salam
174,Anzhero-Sudzhensk
175,Tabasalu
176,Moss
177,Rybinsk
178,Kafir Qala
179,Muskegon
180,Gouménissa
181,Soacha
182,Stupino
183,Tambir
184,Detroit
185,Baizhu
186,Ndewel
187,Klatovy
188,Dunhua
189,Lanpelan
190,Arinos
191,Roissy Charles-de-Gaulle
192,Sinegorskiy
193,La Laja
194,Kopashnovo
195,Jhingergācha
196,Sarilhos Grandes
197,Luniao
198,Czarków
199,Xiwang
200,Tulsa
201,Krasnomayskiy
202,Jingcheng
203,Avignon
204,Río Ceballos
205,Konso
206,Guagua
207,Karangbalong
208,Licheng
209,Kelburn
210,Abengourou
211,Escuintla
212,T’azagyugh
213,Mahdia
214,Saltsjö-Boo
215,Lepoglava
216,Tor
217,Hongjiang
218,Koronadal
219,Noupoort
220,Kučevo
221,Longmen
222,Solotcha
223,San Enrique
224,Garnich
225,Tupã
226,Raejeru
227,Xinning
228,Marka
229,Ntoke
230,Palanas
231,18 de Marzo
232,Cergy-Pontoise
233,Jāwā
234,Santo Estêvão
235,Kisarazu
236,Mozhong
237,Kaznějov
238,Gayam
239,Tunjuk Selatan
240,Harrisburg
241,Shuiquan
242,Il’inskiy
243,Wutumeiren
244,Belica
245,Tsaritsyno
246,Toulon
247,Szydłowo
248,Newark
249,Wakefield
250,Preserje pri Radomljah
251,Polonnaruwa
252,Rio Claro
253,Santa Helena de Goiás
254,Örebro
255,Marcovia
256,Lugo
257,Larache
258,Banyulegi
259,Yanling
260,Rajhradice
261,Liushui
262,Sinarbakti
263,Starominskaya
264,Sam Khok
265,Wonorejo
266,Librazhd
267,Cikai
268,Pakapasan Girang
269,Lao Suea Kok
270,Valle San Francisco
271,Espinheira
272,Bagikkedok Lauk
273,Creil
274,San Simon
275,Mós
276,Tumbagaan
277,Lidingö
278,Staraya Derevnya
279,Łeba
280,San Marcos
281,Kokopo
282,Sanyang
283,Staré Město
284,Solsona
285,Dongji
286,Beskolen
287,Tullich
288,Sali
289,Phalaborwa
290,Caihua
