postna_st,posta
1,Göteborg
2,Ladário
3,Arcueil
4,Chorkówka
5,Ankazondandy
6,Dinititi
7,Tanahmerah
8,Chiang Yuen
9,Indang
10,Dundbürd
11,San Miguel
12,Morelos
13,Longchiqiao
14,Peza e Madhe
15,Shuinan
16,Longshan
17,Chadian
18,Vrbovec
19,Masalovka
20,Şabbūrah
21,Kašperské Hory
22,Bugo
23,Arlington
24,Giado
25,Jardin
26,Tucson
27,Belica
28,Zarechnyy
29,Ai Tu
30,Tangxi
31,El Hamma
32,Houston
33,Nueva Vida Sur
34,Bolhos
35,Chisec
36,Cluses
37,Manukaka
38,Vallehermoso
39,Dobczyce
40,Gromadka
41,Ganding
42,Petrovskoye
43,Soutelo
44,Pallasovka
45,Duyên Hải
46,Boleiros
47,Kedungbang
48,Casilda
49,Sukarama
50,Gračanica
51,Mazha
52,Toledo
53,Jūrmala
54,Huanglong
55,La Roche-sur-Yon
56,Ban Phaeo
57,Porto Velho
58,Xiongchi
59,Novyye Gorki
60,Vanderbijlpark
61,Rates
62,Angeghakot’
63,Punta Alta
64,La Tola
65,Tucuruí
66,Taibai
67,Maanas
68,Oebobo
69,Krasnyy Lyman
70,Épinal
71,San Miguel
72,Qionghai
73,Tekes
74,Jianshe
75,Loay
76,Longyuanba
77,Las Flores
78,Campok
79,Miguel Pereira
80,Barg-e Matāl
81,Calango
82,Caotang
83,Antofagasta
84,Hartford
85,Soly
86,Yanjiatai
87,Santa Catalina - Dique Lujan
88,Jiazi
89,Hualongyan
90,Gongfang
91,Majalengka
92,Xialaxiu
93,Karlskrona
94,Guli
95,Atsugi
96,Bol’shaya Setun’
97,Widorokandang
98,Vladislav
99,Ulaanbaatar
100,Gelap
101,Nesovice
102,Ban Houakhoua
103,Pécs
104,Araripina
105,Rumyantsevo
106,Kodra
107,Panyarang
108,Kenzhe
109,Pondokrejo Wetan
110,Mākū
111,Tangjia
112,Avignon
113,Elverum
114,Langtad
115,Bieto
116,Ol’ginka
117,Bolszewo
118,Szlachta
119,Cicheng
120,Capitão Poço
121,Majengo
122,Vidago
123,Pamplona/Iruña
124,Hongor
125,Novyy Urgal
126,Oliveira
127,Sukonolo Krajan
128,Dhanot
129,Zhoukou
130,Podgorica
131,Liaonan
132,Pingshan
133,Cibaregbeg Dua
134,Oyem
135,Fkih Ben Salah
136,Bor Ondor
137,Salt Lake City
138,Nysa
139,San Agustin
140,Lawesigalagala Timur
141,Malaryta
142,Gagarawa
143,Pires do Rio
144,Massaguet
145,Pondokunyur
146,Condado
147,Matai
148,Lingqiao
149,Sonorejo
150,Krajan
151,Futu
152,San Andrés Xecul
153,Baofeng
154,Sukabatu
155,San Sebastián
156,Jönköping
157,Babak
158,Yakymivka
159,Achanizo
160,Pregradnoye
161,Shatoja
162,Esparza
163,Vasyshcheve
164,Pondoktelo
165,Sieniawa
166,Chagou
167,Kathmandu
168,Luuka Town
169,Nova Praha
170,Nikopol’
171,Florianópolis
172,Pulosari
173,Hasuda
174,Clodomira
175,Wang Nam Yen
176,Xinwo
177,Shchëkino
178,Greensboro
179,Penza
180,Čoka
181,Los Palacios
182,Pleshanovo
183,Buenos Aires
184,Beizi
185,Pangguang
186,Panino
187,Silute
188,Jiqu
189,Aquin
190,Bern
191,Sangoleng
192,Airuk
193,Kobylanka
194,Cayungnan
195,Qindu
196,Příbor
197,Port-aux-Français
198,Morávka
199,Jacksonville
200,Dong’an
201,São Sepé
202,Tarata
203,Åhus
204,Zama
205,Bual
206,Puubheto
207,Älvdalen
208,Zhangxi
209,Rrapë
210,Malasiqui
211,Arish
212,Kant
213,Jiasi
214,Huaqiu
215,Casal da Serra
216,Ke’erlun
217,Nozdrzec
218,Wanhu
219,Boac
220,Machikou
221,Opuwo
222,General Elizardo Aquino
223,Covas
224,Tietê
225,Danchang
226,Hveragerði
227,Jinrui
228,Ganjun
229,Bayshint
230,Lafayette
231,Aime
232,Pokotylivka
233,Zouila
234,Santa Bernardina
235,Leigu
236,Ḥurfeish
237,Goiânia
238,Skhirat
239,Mejdan - Obilićevo
240,Querecotillo
241,San Juan de Planes
242,Vila Alva
243,Fort Erie
244,Pilzno
245,Alejo Ledesma
246,Galapa
247,Kīevka
248,Esperanza
249,Kashihara-shi
250,Jiangkou
251,Saukkola
252,Santa Clara
253,Hualmay
254,Kedungbulu
255,São Mamede
256,Godong
257,Xia Zanggor
258,Mannheim
259,San Antonio
260,Oleszyce
261,Sulahan
262,Shengze
263,Figueira Castelo Rodrigo
264,Carrascal
265,Nevinnomyssk
266,Kalapanunggal
267,Kifrī
268,Chaviña
269,Jamalteca
270,Fresno
271,Pahārpur
272,La Paz
273,Zorgo
274,Letsheng
275,Gudauta
276,Bendo
277,Toulouse
278,Funehikimachi-funehiki
279,Westport
280,Baş Göynük
281,Krabi
282,Setaka
283,Madīnat ash Shamāl
284,Biliri
285,Juazeiro do Norte
286,Bugarama
287,Toutai
288,Lower Hutt
289,Tambopata
290,Barra Velha
291,Ngulahan
292,Anchorage
293,Haodi
294,Cruz del Eje
295,Zawiya
296,Tobatí
297,Naperville
298,Taiyang
299,Montpellier
300,Fuchūchō
301,Solingen
302,Krong Pi Nang
303,Benjamín Aceval
304,Kista
305,Sumberan
306,Vänersborg
307,Prilep
308,Caspisapa
309,Tomdibuloq
310,Taling Chan
311,Lužani
312,Alannay
313,Blois
314,Koundara
315,Daixi
316,Palmeira
317,Poniklá
318,Inozemtsevo
319,Longtanping
320,Solec-Zdrój
321,Kruhlaye
322,Baturinggit Kaja
323,Smederevska Palanka
324,Pouzauges
325,São Pedro de Trafaria
326,Biliri
327,Wasogolo
328,Qalyūb
329,Kufa
330,Liberta
331,Zliv
332,Swan Hills
333,Tambobamba
334,Dióni
335,Nangkapayung
336,Kadubincarung
337,Al Wāsiţah
338,Tartu
339,Banhā
340,Brive-la-Gaillarde
341,Bento Gonçalves
342,Muff
343,Mabilog
344,Nashville
345,Laranjeiras do Sul
346,Belfort
347,Turochak
348,Kabasalan
349,Birr
350,Siquisique
351,Sieniawa
352,Sumberrejo
353,Podu
354,Simabur
355,Batusangkar
356,Aracati
357,Jindu
358,Inriville
359,Muhos
360,Saryshaghan
361,Saint Louis
362,Houmt Souk
363,Jenzan
364,Genang
365,Trondheim
366,Skövde
367,Ust’-Katav
368,Água Retorta
369,Stockholm
370,Shuangbaiyang
371,Listvyanskiy
372,Guanchao
373,Laojiangjunjie
374,Zhonggang
375,Kepoh
376,Xinzhuang
377,Tabug
378,Wujiao
379,Strasbourg
380,Vilkija
381,Tangxian
382,Dayeuhluhur
383,Ishikari
384,Sa Pá
385,Mungging
386,Maniwaki
387,Igboho
388,Piñahan
389,Hondo Valle
390,Pemex
391,Youngstown
392,Sindangkerta
393,Oroqen Zizhiqi
394,Mamanguape
395,Seboruco
396,Rakek
397,Kampene
398,Kil
399,Rogóźno
400,Sonina
401,La Seyne-sur-Mer
402,Xinjie
403,Velas
404,Xiaoguai
405,Asahbadung
406,Oslo
407,Mujiangping
408,Belsk Duży
409,Bayan
410,Baikui
411,Kijang
412,Täby
413,Paitan Este
414,Kandhkot
415,Qishui
416,Baloc
417,Krasnyy Gulyay
418,Maguwon
419,Niort
420,Néa Kíos
421,Pepe
422,As Sūsah
423,Qingyang
424,Fucheng
425,Ilha de Moçambique
426,Piracanjuba
427,Majiadu
428,Nicosia
429,Kralice na Hané
430,Mets Parni
431,Sutton
432,Blangpulo
433,União
434,Lamduan
435,Zhangjiawan
436,Kibara
437,Caujul
438,Manoc-Manoc
439,Boende
440,Gálvez
441,Mekarsari
442,Sabanagrande
443,Cafayate
444,Al Ḩajar al Aswad
445,Shaheying
446,Dobryanka
447,Biscucuy
448,Drahichyn
449,Pliska
450,Molinos
451,Krasnoarmeysk
452,Emiliano Zapata
453,Lipnik
454,Shangjiangxu
455,Soroti
456,Houston
457,Vigo
458,Lampa
459,Shiban
460,Hufang
461,Bonavista
462,Pictou
463,Xianbao
464,Nancha
465,Bojonggaling
466,Rzgów
467,Drakhtik
468,Jasienica
469,Ampasimanolotra
470,Belung Satu
471,Yingchun
472,Zheleznodorozhnyy
473,Blobo
474,Balad
475,Anyang
476,Xinjie
477,Lýkeio
478,Takahama
479,Sukamulya
480,Xiongji
481,Plan de Ayala
482,Gwangtan
483,Caála
484,Aubenas
485,Laï
486,Orlovat
487,Świętajno
488,Gunung Sugih
489,Tirmiz
490,Reda
491,Buikwe
492,Angered
493,Guyangan
494,Burgersdorp
495,Rimbo
496,Dachun
497,Dasi
498,Dongle
499,Margen
500,Porto Ferreira
501,Neẖalim
502,Bobrowice
503,Guaíra
504,Lop
505,Trollhättan
506,Pertunmaa
507,Kidangbang
508,Bến Cầu
509,Washington
510,San Diego
511,Donetsk
512,Bang Lamung
513,Carmen
514,Guishan
515,Sanshan
516,Upata
517,Huddinge
518,Toyohashi
519,Uman’
520,Abangay
521,Arada
522,Abū Mūsā
523,Mokotów
524,Soljani
525,Vimieiro
526,Bordeaux
527,Montpellier
528,Hamonggolele
529,Charenton-le-Pont
530,Cennan
531,Uppsala
532,Slawharad
533,Sapernoye
534,Shun’ga
535,Qal‘ah-ye Na‘īm
536,Boxholm
537,Pasto
538,Sakaraha
539,Zhangcunping
540,Alvito
541,Komprachcice
542,Galaz
543,Portela
544,Kobylanka
545,Laval
546,Matanza
547,Madison
548,Vårby
549,Arcos de Valdevez
550,Vetlanda
551,Moppo
552,Longhu
553,Chikan
554,Parrita
555,Quintã
556,Alor Star
557,Clodomira
558,Bytkiv
559,Huambalpa
560,Geputan
561,El Hamma
562,Magway
563,Hannover
564,Fengcheng
565,Iizuka
566,Calsib
567,Petřvald
568,Leping
569,Daxi
570,Palma Gil
571,Ravānsar
572,San Martin
573,Chulabhorn
574,Haeju
575,Velké Bílovice
576,Koina
577,Hwangju-ŭp
578,Tochio-honchō
579,Triánta
580,Tatuí
581,Huangshi
582,Mādārīpur
583,Hoopstad
584,Madruga
585,Correntina
586,Sergeyevka
587,Kasonawejo
588,Palmerston North
589,Pingshui
590,Taibai
591,Mrozy
592,Tāfuna
593,Vilhelmina
594,Kanchanaburi
595,Sarirejo Satu
596,Sumurgung
597,Żyraków
598,Whakatane
599,Ulan Us
600,Shaochang
601,Dogbo
602,Manna
603,Veguitas
604,Kuala Terengganu
605,Darungan Lor
606,Guay
607,Quinarayan
608,Jacaraú
609,Songhe
610,Gulou
611,Can-asujan
612,Mato Cheirinhos
613,Maceo
614,Ciudad Bolívar
615,Freiburg im Breisgau
616,Selaawi
617,Ekibastuz
618,Shimen
619,Oldřišov
620,Tupsan
621,Virbalis
622,Otradnoye
623,Kampala
624,Anápolis
625,Kisangani
626,Chornorudka
627,Vysokovsk
628,Cherëmushki
629,Zyablikovo
630,Kasungu
631,Érd
632,Liubo
633,Bil‘īn
634,Varazqān
635,Mpumalanga
636,Francisco I Madero
637,Tomaszów Mazowiecki
638,Kassiri
639,Malim
640,Maskinongé
641,Shuanggang
642,Wenceslao Escalante
643,Nykvarn
644,Daqiao
645,Yamaguchi-shi
646,Wang Saphung
647,Bastan
648,Reshui
649,Filipstad
650,Olinda
651,Kampánis
652,Kuala Lumpur
653,Majin
654,Jagupit
655,Barreiras
656,Baing
657,Nova Lima
658,Al Quşayr
659,Kademangan
660,Lamu
661,Tamano
662,Huinca Renancó
663,San Antonio
664,Rongxing
665,Jishi
666,Baylo
667,Wangjiaping
668,Beigucheng
669,Sincé
670,Greenland
671,Nenotes
672,Oslo
673,Luojiang
674,Fray Luis A. Beltrán
675,Kashima-shi
676,Koungheul
677,Xinshancun
678,Watari
679,Cimuncang
680,Muyaka
681,Soasio
682,Velké Svatoňovice
683,Mangai
684,Huai Mek
685,Linfen
686,Souillac
687,Abóboda
688,Sokol
689,Flic en Flac
690,Spuž
691,Sop Moei
692,Villazón
693,Sertãozinho
694,Majur
695,Washington
696,Nekhayevskiy
697,Pajannangger
698,Biaoxi
699,Nzérékoré
700,Wawa
701,Zalţan
702,Almada
703,Sanxixiang
704,Guimbal
705,Dallas
706,Rawa
707,Candelaria
708,Rocky Mountain House
709,Manchioneal
710,Bingawan
711,Mourelos
712,Fontenay-sous-Bois
713,Pidigan
714,Clifden
715,Moneague
716,Kauditan
717,Brodarica
718,Norfolk
719,Lampa
720,Chiclayo
721,Mintian
722,Santa Rosa
723,Tanjungluar
724,Mouhijärvi
725,Thị Trấn Nga Sơn
726,Daleman
727,Kafr Miṣr
728,Coruripe
729,Sulitair
730,Wangchang
731,Linjiang
732,Zhanggongmiao
733,Yanmenguan
734,Nekrasovka
735,Fort McMurray
736,Cangshan
737,Patsi
738,São Lourenço
739,Guapimirim
740,Pran Buri
741,Gaxung
742,Kawasaki
743,Tangtou
744,Akron
745,Naxos
746,Borlänge
747,Wang Sam Mo
748,Chvaletice
749,Wołomin
750,San Miguel
751,Fengyang
752,Miaoshi
753,Hwangju-ŭp
754,Uspenskoye
755,Wenbi
756,Šimanovci
757,Yazman
758,Jaru
759,Killumney
760,Karabash
761,Punata
762,Niquelândia
763,Tiout
764,Muramatsu
765,Mujur
766,Miskolc
767,Paris 08
768,Padre Paraíso
769,Bagani
770,Piduhe
771,Yarabamba
772,Zhongxi
773,Hoboksar
774,Concepción
775,Dagua
776,Feondari
777,Mesker-Yurt
778,Əhmədbəyli
779,Thanh Ba
780,Tangchi
781,Sobue
782,Cái Nhum
783,Columbus
784,Solnechnoye
785,El Cafetal
786,Xianning
787,Pajung
788,Allada
789,Bojongnangka
790,Louiseville
791,Cairima
792,São Miguel
793,Dachuan
794,Machang
795,Ouzini
796,Navotas
797,Ragay
798,Solnechnyy
799,Wangjiang
800,Zürich
801,Yuekou
802,Maoming
803,Lewotola
804,Bearna
805,Ngerengere
806,Gibara
807,Inari
808,Gurupi
809,Almalaguês
810,Mbandjok
811,Whitehorse
812,Póvoa
813,Ferreiros
814,Domampot
815,Independencia
816,Bavorov
817,Paldit
818,Soloneshnoye
819,Sakura
820,Jifarong
821,Zhongdong
822,Osvaldo Cruz
823,Ciheras
824,Jinja
825,Jeffersonville
826,Shreveport
827,Singa
828,Torre
829,Bol’shoy Kamen’
830,Portel
831,Ashton
832,Banpu
833,Binitinan
834,Tianyuan
835,Atibaia
836,Praia Grande
837,Tonggu
838,Jiatou
839,Hiroshima-shi
840,Bagikkedok Lauk
841,Oslob
842,Banjar Dauhpura
843,Şafāshahr
844,Ngora
845,Zwolle
846,Shamva
847,Nilanapo
848,Odiongan
849,Golčův Jeníkov
850,Sotouboua
851,Inhumas
852,Sumurgayam
853,Vitry-sur-Seine
854,Chimen
855,Villarrica
856,Safotu
857,Semënov
858,Pivka
859,Kalkara
860,Xiaopingba
861,Sulang Tengah
862,Zhouzhuang
863,Huainan
864,Hucheng
865,Gobabis
866,Da’an
867,Quince Mil
868,Tanlin
869,Bi’r Ḩāt
870,Sonorejo
871,Caleufú
872,Pacora
873,Brits
874,Shangmofang
875,Deba Habe
876,Temaiku Village
877,Kirove
878,Barru
879,Iţsā
880,Pacajus
881,Tây Ninh
882,Czerwionka-Leszczyny
883,Salinópolis
884,Telangi Satu
885,Sirre
886,Nocaima
887,Casilda
888,San Jose
889,Klishkivtsi
890,Sendangrejo
891,Pliwetan
892,Bajram Curri
893,Hongtian
894,Krzyżowice
895,Jesús Menéndez
896,Ya’ngan
897,Jiquilillo
898,Buliok
899,Sentani
900,Wangda
901,Jiamaying
902,Caibiran
903,Francisco Villa
904,Vereya
905,Destrnik
906,Katrineholm
907,Guadalupe
908,Novi Beograd
909,São João de Meriti
910,Ágios Pétros
911,Macachín
912,Strasbourg
913,Wenquan
914,Lukou
915,Niuzhuang
916,Cijengkol
917,Växjö
918,Johor Bahru
919,Erjiegou
920,Otok
921,Longping
922,Qiandong
923,Welchman Hall
924,Rennes
925,Tanahwurung
926,Zwolle
927,Lanhe
928,Daytona Beach
929,Gōtsuchō
930,Neob
931,Fantino
932,Elx/Elche
933,Phú Vang
934,Aubenas
935,Tangzang
936,Jiangtian
937,Benito Juarez
938,Belford Roxo
939,Sidem
940,Tamaki
941,Jezzîne
942,Swellendam
943,Privlaka
944,Ventersdorp
945,Gamovo
946,Halayhay
947,Las Tejeras
948,Paris 12
949,Fuxing
950,Mamali
951,Aykhal
952,Ostrów Mazowiecka
953,Anhua Daying
954,Calasgasan
955,København
956,Xiongji
957,Novozybkov
958,Taozhuang
959,Keboncau
960,Pining
961,Belize City
962,Kampunglistrik
963,Oslo
964,Agen
965,Villanueva
966,Sangojar
967,Habiganj
968,Pyongyang
969,Nowe Skalmierzyce
970,Datong
971,Qianjiang
972,Bouça
973,Dongchong
974,Posedarje
975,Lisala
976,Leigongjian
977,Baños
978,Dundee
979,Bungkal
980,Estância Velha
981,København
982,Čortanovci
983,Kajar
984,Mashi
985,Jinrongjie
986,Payapa
987,Strachówka
988,Banjar Bongangede
989,Xuxiake
990,Sydney
991,Višnjićevo
992,Guinticgan
993,Hexi
994,Yukuriawat
995,Pokrovskoye-Streshnëvo
996,Steinkjer
997,Tsementnozavodskiy
998,Awka
999,Farnham
1000,Ticaco
